CODIGO_ISO,ANIO,INDICE,RANKING
SLE,2002,23.5,36.0
SLV,2002,6.83,101.0
SOM,2002,45.0,83.0
SRB,2002,21.33,34.0
SSD,2002,,
SUR,2002,,
SVK,2002,2.5,29.0
SVN,2002,3.0,47.0
SWE,2002,1.5,5.0
SWZ,2002,37.5,69.0
SYC,2002,26.75,42.0
SYR,2002,67.5,104.0
TCD,2002,24.0,37.0
TGO,2002,27.5,44.0
THA,2002,19.67,27.0
TJK,2002,34.5,62.0
TKM,2002,82.83,114.0
TLS,2002,,
TON,2002,,
TTO,2002,1.0,2.0
TUN,2002,50.83,94.0
TUR,2002,35.0,63.0
TWN,2002,,
TZA,2002,16.5,17.0
UGA,2002,25.75,40.0
UKR,2002,40.0,77.0
URY,2002,4.0,74.0
USA,2002,6.0,98.0
UZB,2002,61.5,103.0
VEN,2002,27.83,45.0
VNM,2002,89.17,115.0
WSM,2002,,
YEM,2002,41.83,79.0
ZAF,2002,3.33,48.0
ZMB,2002,23.25,35.0
ZWE,2002,45.5,84.0
AFG,2003,28.25,49.0
AGO,2003,26.5,44.0
ALB,2003,11.5,11.0
AND,2003,,
ARE,2003,50.25,88.0
ARG,2003,35826.0,35.0
ARM,2003,23.5,39.0
ATG,2003,,
AUS,2003,9.5,120.0
AUT,2003,3.25,53.0
AZE,2003,49.67,85.0
BDI,2003,19.0,28.0
BEL,2003,4.0,72.0
BEN,2003,5.5,87.0
BFA,2003,16.25,22.0
BGD,2003,62.5,104.0
BGR,2003,8.0,115.0
BHR,2003,52.5,93.0
BIH,2003,3.67,56.0
BLR,2003,54.1,94.0
BLZ,2003,,
BOL,2003,20.0,32.0
BRA,2003,16.5,23.0
BRN,2003,,
BTN,2003,55.83,96.0
BWA,2003,11.5,11.0
CAF,2003,32.5,59.0
CAN,2003,3.33,54.0
CHE,2003,0.5,1.0
CHL,2003,10.0,4.0
CHN,2003,92.33,121.0
CIV,2003,60.38,102.0
CMR,2003,27.0,45.0
COD,2003,,
COG,2003,17.5,24.0
COL,2003,47.38,83.0
COM,2003,26.5,44.0
CPV,2003,8.75,116.0
CRI,2003,7.63,112.0
CUB,2003,106.83,7.0
CYP,2003,22.0,37.0
CZE,2003,3.5,55.0
DEU,2003,2.0,30.0
DJI,2003,55.0,95.0
DNK,2003,0.5,1.0
DOM,2003,6.75,100.0
DZA,2003,43.5,79.0
ECU,2003,16.5,23.0
EGY,2003,43.5,79.0
ERI,2003,93.25,122.0
ESP,2003,9.0,119.0
EST,2003,2.0,30.0
ETH,2003,37.0,64.0
FIN,2003,0.5,1.0
FJI,2003,16.0,21.0
FRA,2003,3.5,55.0
GAB,2003,37.5,66.0
GBR,2003,6.0,99.0
GEO,2003,27.5,46.0
GHA,2003,13.5,17.0
GIN,2003,24.5,42.0
GMB,2003,29.5,50.0
GNB,2003,23.5,39.0
GNQ,2003,46.25,82.0
GRC,2003,7.0,110.0
GRD,2003,12.0,15.0
GTM,2003,16.5,23.0
GUY,2003,,
HKG,2003,7.5,111.0
HND,2003,11.75,13.0
HRV,2003,11.83,14.0
HTI,2003,42.13,76.0
HUN,2003,6.0,99.0
IDN,2003,37.75,67.0
IND,2003,38.5,69.0
IRL,2003,0.5,1.0
IRN,2003,78.3,113.0
IRQ,2003,58.5,98.0
ISL,2003,0.5,1.0
ISR,2003,8.0,115.0
ITA,2003,9.0,119.0
JAM,2003,4.17,73.0
JOR,2003,39.13,70.0
JPN,2003,10.0,4.0
KAZ,2003,44.17,80.0
KEN,2003,22.25,38.0
KGZ,2003,35.25,61.0
KHM,2003,36.5,62.0
KOR,2003,11.13,9.0
KSV,2003,,
KWT,2003,31.67,58.0
LAO,2003,64.33,106.0
LBN,2003,24.38,41.0
LBR,2003,40.0,75.0
LBY,2003,65.0,107.0
LIE,2003,,
LKA,2003,36.5,62.0
LSO,2003,29.5,50.0
LTU,2003,3.0,52.0
LUX,2003,,
LVA,2003,1.0,3.0
MAR,2003,43.0,77.0
MDA,2003,20.5,34.0
MDG,2003,18.5,27.0
MDV,2003,69.17,109.0
MEX,2003,27.83,48.0
MKD,2003,11.25,10.0
MLI,2003,12.83,16.0
MLT,2003,,
MMR,2003,103.63,6.0
MNE,2003,,
MNG,2003,19.0,28.0
MOZ,2003,16.25,22.0
MRT,2003,51.0,89.0
MUS,2003,10.5,5.0
MWI,2003,31.0,57.0
MYS,2003,39.83,71.0
NAM,2003,10.0,4.0
NER,2003,18.33,26.0
NGA,2003,37.75,67.0
NIC,2003,11.67,12.0
NLD,2003,0.5,1.0
NOR,2003,0.5,1.0
NPL,2003,84.0,117.0
NZL,2003,0.67,2.0
OMN,2003,,
PAK,2003,61.75,103.0
PAN,2003,14.5,20.0
PER,2003,40.0,75.0
PHL,2003,36.63,63.0
PNG,2003,,
POL,2003,6.83,101.0
PRK,2003,,
PRT,2003,4.5,74.0
PRY,2003,10.5,5.0
PSE,2003,,
QAT,2003,32.5,59.0
ROU,2003,17.83,25.0
RUS,2003,51.38,90.0
RWA,2003,37.25,65.0
SAU,2003,79.17,114.0
SDN,2003,44.25,81.0
SEN,2003,21.5,36.0
SGP,2003,57.0,97.0
SLE,2003,24.5,42.0
SLV,2003,6.0,99.0
SOM,2003,43.5,79.0
SRB,2003,20.13,33.0
SSD,2003,,
SUR,2003,,
SVK,2003,0.5,1.0
SVN,2003,2.25,31.0
SWE,2003,2.0,30.0
SWZ,2003,31.0,57.0
SYC,2003,23.5,39.0
SYR,2003,67.5,108.0
TCD,2003,33.25,60.0
TGO,2003,19.5,29.0
THA,2003,14.0,18.0
TJK,2003,27.75,47.0
TKM,2003,99.83,123.0
TLS,2003,,
TON,2003,38.17,68.0
TTO,2003,2.0,30.0
TUN,2003,62.67,105.0
TUR,2003,37.25,65.0
TWN,2003,,
TZA,2003,14.5,20.0
UGA,2003,24.0,40.0
UKR,2003,51.0,89.0
URY,2003,10.0,4.0
USA,2003,4.0,72.0
UZB,2003,52.13,92.0
VEN,2003,24.63,43.0
VNM,2003,86.88,118.0
WSM,2003,,
YEM,2003,48.0,84.0
ZAF,2003,5.0,86.0
ZMB,2003,29.75,51.0
ZWE,2003,67.5,108.0
AFG,2004,39.17,62.0
AGO,2004,18.0,26.0
ALB,2004,14.17,17.0
AND,2004,,
ARE,2004,25.75,45.0
ARG,2004,13.67,15.0
ARM,2004,26.0,46.0
ATG,2004,,
AUS,2004,6.5,93.0
AUT,2004,2.5,32.0
AZE,2004,51.0,82.0
BDI,2004,23.0,39.0
BEL,2004,4.0,64.0
BEN,2004,5.5,78.0
BFA,2004,19.0,27.0
BGD,2004,61.25,95.0
BGR,2004,10.25,6.0
BHR,2004,38.75,61.0
BIH,2004,7.0,101.0
BLR,2004,61.33,96.0
BLZ,2004,,
BOL,2004,9.67,117.0
BRA,2004,14.5,18.0
BRN,2004,,
BTN,2004,51.5,83.0
BWA,2004,14.0,16.0
CAF,2004,19.75,30.0
CAN,2004,4.5,65.0
CHE,2004,0.5,1.0
CHL,2004,11.75,9.0
CHN,2004,83.0,110.0
CIV,2004,52.25,85.0
CMR,2004,20.5,33.0
COD,2004,,
COG,2004,17.0,24.0
COL,2004,40.17,68.0
COM,2004,22.0,37.0
CPV,2004,6.0,91.0
CRI,2004,8.5,107.0
CUB,2004,87.0,112.0
CYP,2004,5.5,78.0
CZE,2004,1.0,3.0
DEU,2004,4.0,64.0
DJI,2004,37.0,59.0
DNK,2004,0.5,1.0
DOM,2004,12.25,10.0
DZA,2004,40.33,69.0
ECU,2004,21.75,36.0
EGY,2004,52.0,84.0
ERI,2004,99.75,120.0
ESP,2004,8.33,106.0
EST,2004,1.5,4.0
ETH,2004,42.0,71.0
FIN,2004,0.5,1.0
FJI,2004,14.0,16.0
FRA,2004,6.25,92.0
GAB,2004,26.0,46.0
GBR,2004,5.17,77.0
GEO,2004,25.17,44.0
GHA,2004,15.0,20.0
GIN,2004,26.0,46.0
GMB,2004,41.0,70.0
GNB,2004,17.0,24.0
GNQ,2004,44.0,73.0
GRC,2004,4.0,64.0
GRD,2004,,
GTM,2004,21.5,35.0
GUY,2004,,
HKG,2004,8.25,105.0
HND,2004,18.0,26.0
HRV,2004,12.83,12.0
HTI,2004,33.5,56.0
HUN,2004,2.0,31.0
IDN,2004,26.0,46.0
IND,2004,27.0,47.0
IRL,2004,0.5,1.0
IRN,2004,89.17,115.0
IRQ,2004,67.0,100.0
ISL,2004,0.5,1.0
ISR,2004,10.0,5.0
ITA,2004,8.67,108.0
JAM,2004,7.5,102.0
JOR,2004,24.0,41.0
JPN,2004,8.0,104.0
KAZ,2004,36.17,58.0
KEN,2004,30.0,50.0
KGZ,2004,32.0,51.0
KHM,2004,23.0,39.0
KOR,2004,7.5,102.0
KSV,2004,36881.0,90572.0
KWT,2004,21.25,34.0
LAO,2004,66.5,99.0
LBN,2004,28.25,49.0
LBR,2004,20.5,33.0
LBY,2004,88.75,113.0
LIE,2004,,
LKA,2004,33.25,54.0
LSO,2004,19.5,29.0
LTU,2004,4.5,65.0
LUX,2004,,
LVA,2004,2.5,32.0
