CODIGO_ISO,ANIO,INDICE,RANKING
SGP,2013,44.29,139.0
SLE,2013,28.23,61.0
SLV,2013,21.57,27.0
SOM,2013,73.19,172.0
SRB,2013,25.05,43.0
SSD,2013,,
SUR,2013,18.2,20.0
SVK,2013,11.39,9.0
SVN,2013,20.38,23.0
SWE,2013,8.98,176.0
SWZ,2013,46.76,145.0
SYC,2013,31.68,92.0
SYR,2013,77.04,173.0
TCD,2013,40.22,128.0
TGO,2013,29.0,65.0
THA,2013,37.94,119.0
TJK,2013,34.86,104.0
TKM,2013,80.81,177.0
TLS,2013,29.04,66.0
TON,2013,26.7,52.0
TTO,2013,23.28,32.0
TUN,2013,38.69,122.0
TUR,2013,45.87,143.0
TWN,2013,,
TZA,2013,27.3,58.0
UGA,2013,33.29,99.0
UKR,2013,36.93,116.0
URY,2013,16.08,15.0
USA,2013,23.49,35.0
UZB,2013,61.01,160.0
VEN,2013,35.37,105.0
VNM,2013,72.36,170.0
WSM,2013,22.02,29.0
YEM,2013,67.26,161.0
ZAF,2013,23.19,31.0
ZMB,2013,30.89,82.0
ZWE,2013,39.19,124.0
AFG,2014,37.44,116.0
AGO,2014,37.84,117.0
ALB,2014,28.77,76.0
AND,2014,19.87,27.0
ARE,2014,36.73,114.0
ARG,2014,26.11,52.0
ARM,2014,28.43,72.0
ATG,2014,,
AUS,2014,17.03,20.0
AUT,2014,10.85,2.0
AZE,2014,58.41,155.0
BDI,2014,42.93,138.0
BEL,2014,11.98,10.0
BEN,2014,29.24,78.0
BFA,2014,23.79,41.0
BGD,2014,42.95,139.0
BGR,2014,32.91,100.0
BHR,2014,58.69,156.0
BIH,2014,27.51,61.0
BLR,2014,47.98,150.0
BLZ,2014,18.54,25.0
BOL,2014,31.29,88.0
BRA,2014,31.93,93.0
BRN,2014,36.76,115.0
BTN,2014,32.65,98.0
BWA,2014,22.91,37.0
CAF,2014,,
CAN,2014,10.99,3.0
CHE,2014,13.85,15.0
CHL,2014,23.0,38.0
CHN,2014,73.55,171.0
CIV,2014,30.45,80.0
CMR,2014,39.63,126.0
COD,2014,44.31,143.0
COG,2014,,
COL,2014,39.08,122.0
COM,2014,24.52,45.0
CPV,2014,20.69,31.0
CRI,2014,12.26,11.0
CUB,2014,70.21,164.0
CYP,2014,16.52,19.0
CZE,2014,11.62,8.0
DEU,2014,11.47,7.0
DJI,2014,71.04,165.0
DNK,2014,8.24,173.0
DOM,2014,27.31,58.0
DZA,2014,36.63,113.0
ECU,2014,33.65,102.0
EGY,2014,50.17,151.0
ERI,2014,84.86,176.0
ESP,2014,19.95,28.0
EST,2014,11.19,5.0
ETH,2014,41.83,135.0
FIN,2014,7.52,162.0
FJI,2014,31.28,87.0
FRA,2014,21.15,33.0
GAB,2014,31.38,89.0
GBR,2014,20.0,29.0
GEO,2014,27.7,64.0
GHA,2014,15.5,17.0
GIN,2014,32.56,96.0
GMB,2014,44.5,144.0
GNB,2014,28.7,75.0
GNQ,2014,66.23,160.0
GRC,2014,31.01,85.0
GRD,2014,,
GTM,2014,37.92,118.0
GUY,2014,27.21,57.0
HKG,2014,27.76,65.0
HND,2014,39.27,125.0
HRV,2014,26.12,53.0
HTI,2014,25.08,48.0
HUN,2014,27.44,60.0
IDN,2014,40.75,131.0
IND,2014,40.49,129.0
IRL,2014,11.2,6.0
IRN,2014,72.32,168.0
IRQ,2014,47.76,149.0
ISL,2014,13.87,16.0
ISR,2014,32.09,95.0
ITA,2014,27.94,68.0
JAM,2014,11.18,4.0
JOR,2014,42.07,136.0
JPN,2014,26.95,56.0
KAZ,2014,53.46,153.0
KEN,2014,32.07,94.0
KGZ,2014,30.69,82.0
KHM,2014,40.99,132.0
KOR,2014,26.55,55.0
KSV,2014,64536.0,120614.0
KWT,2014,30.84,84.0
LAO,2014,71.25,166.0
LBN,2014,31.81,92.0
LBR,2014,30.78,83.0
LBY,2014,45.99,147.0
LIE,2014,17.67,22.0
LKA,2014,60.28,158.0
LSO,2014,28.36,71.0
LTU,2014,18.8,26.0
LUX,2014,13.61,14.0
LVA,2014,18.12,23.0
MAR,2014,39.19,124.0
MDA,2014,27.85,67.0
MDG,2014,27.43,59.0
MDV,2014,34.32,106.0
MEX,2014,43.69,141.0
MKD,2014,36.26,111.0
MLI,2014,36.33,112.0
MLT,2014,24.16,43.0
MMR,2014,42.08,137.0
MNE,2014,34.63,108.0
MNG,2014,25.25,49.0
MOZ,2014,29.98,79.0
MRT,2014,25.27,50.0
MUS,2014,27.69,63.0
MWI,2014,26.41,54.0
MYS,2014,43.29,140.0
NAM,2014,12.5,12.0
NER,2014,23.85,42.0
NGA,2014,34.09,105.0
NIC,2014,27.94,68.0
NLD,2014,9.22,177.0
NOR,2014,7.75,163.0
NPL,2014,32.71,99.0
NZL,2014,10.06,1.0
OMN,2014,38.83,121.0
PAK,2014,50.46,152.0
PAN,2014,28.98,77.0
PER,2014,31.21,86.0
PHL,2014,41.19,134.0
PNG,2014,25.87,51.0
POL,2014,12.71,13.0
PRK,2014,,
PRT,2014,17.11,21.0
PRY,2014,33.74,103.0
PSE,2014,,
QAT,2014,35.35,109.0
ROU,2014,24.9,47.0
RUS,2014,44.97,145.0
RWA,2014,56.57,154.0
SAU,2014,59.41,157.0
SDN,2014,72.34,169.0
SEN,2014,27.77,66.0
SGP,2014,45.87,146.0
SLE,2014,28.47,73.0
SLV,2014,23.66,40.0
SOM,2014,72.31,167.0
SRB,2014,27.66,62.0
SSD,2014,38.04,119.0
SUR,2014,18.2,24.0
SVK,2014,11.66,9.0
SVN,2014,20.55,30.0
SWE,2014,9.47,178.0
SWZ,2014,47.28,148.0
SYC,2014,31.55,90.0
SYR,2014,77.29,172.0
TCD,2014,40.17,128.0
TGO,2014,28.5,74.0
THA,2014,40.07,127.0
TJK,2014,36.19,110.0
TKM,2014,80.83,174.0
TLS,2014,32.63,97.0
TON,2014,23.37,39.0
TTO,2014,22.39,36.0
TUN,2014,38.68,120.0
TUR,2014,44.16,142.0
TWN,2014,,
TZA,2014,28.09,69.0
UGA,2014,31.65,91.0
UKR,2014,39.1,123.0
URY,2014,15.94,18.0
USA,2014,24.41,44.0
UZB,2014,61.14,159.0
VEN,2014,40.61,130.0
VNM,2014,72.63,170.0
WSM,2014,22.32,35.0
YEM,2014,66.36,161.0
ZAF,2014,22.06,34.0
ZMB,2014,34.35,107.0
ZWE,2014,39.19,124.0
AFG,2015,37.75,114.0
AGO,2015,39.89,117.0
ALB,2015,29.92,78.0
AND,2015,19.87,29.0
ARE,2015,36.73,113.0
ARG,2015,25.09,50.0
ARM,2015,28.79,70.0
ATG,2015,,
AUS,2015,17.84,21.0
AUT,2015,13.18,7.0
AZE,2015,57.89,157.0
BDI,2015,54.1,150.0
BEL,2015,14.18,9.0
BEN,2015,28.97,74.0
BFA,2015,22.66,38.0
BGD,2015,45.94,138.0
BGR,2015,34.46,107.0
BHR,2015,54.86,156.0
BIH,2015,28.45,64.0
BLR,2015,54.32,151.0
BLZ,2015,20.61,32.0
BOL,2015,31.78,93.0
BRA,2015,32.62,99.0
BRN,2015,53.85,149.0
BTN,2015,30.73,90.0
BWA,2015,22.91,39.0
CAF,2015,33.6,104.0
CAN,2015,15.26,14.0
CHE,2015,11.76,3.0
CHL,2015,19.23,27.0
CHN,2015,80.96,173.0
CIV,2015,30.17,82.0
CMR,2015,40.53,120.0
COD,2015,50.97,146.0
COG,2015,35.84,109.0
COL,2015,44.11,128.0
COM,2015,24.33,46.0
CPV,2015,19.82,28.0
CRI,2015,11.1,2.0
CUB,2015,70.23,164.0
CYP,2015,18.26,23.0
CZE,2015,16.66,17.0
DEU,2015,14.8,12.0
DJI,2015,70.9,165.0
DNK,2015,8.89,172.0
DOM,2015,27.9,58.0
DZA,2015,41.69,123.0
ECU,2015,33.21,103.0
EGY,2015,54.45,153.0
ERI,2015,83.92,177.0
ESP,2015,19.92,30.0
EST,2015,14.31,10.0
ETH,2015,45.13,136.0
FIN,2015,8.59,169.0
FJI,2015,29.37,76.0
FRA,2015,23.83,41.0
GAB,2015,32.2,96.0
GBR,2015,21.7,34.0
GEO,2015,27.96,60.0
GHA,2015,17.95,22.0
GIN,2015,33.08,102.0
GMB,2015,46.53,139.0
GNB,2015,29.03,75.0
GNQ,2015,66.47,161.0
GRC,2015,30.35,85.0
GRD,2015,,
GTM,2015,38.03,115.0
GUY,2015,27.07,53.0
HKG,2015,28.5,65.0
HND,2015,44.62,131.0
HRV,2015,27.91,59.0
HTI,2015,24.66,49.0
HUN,2015,28.17,63.0
IDN,2015,41.72,124.0
IND,2015,43.17,127.0
IRL,2015,12.4,5.0
IRN,2015,66.52,162.0
IRQ,2015,54.35,152.0
ISL,2015,15.3,15.0
ISR,2015,32.58,97.0
